,BC
7oby,0.039196139170938664
alllie,0.02320639746906585
rmuser,0.012760778820493465
NoMoreNicksLeft,0.011660147374894632
mutatron,0.01128532001959722
qgyh2,0.011136086788674388
tsteele93,0.010237132345322192
deuteros,0.009183417762091268
bobcat,0.008762830169943827
revoman,0.008363546146744415
