,DC
7oby,0.08234283259344122
alllie,0.06630388085350136
rmuser,0.04458446703899947
tsteele93,0.04157716358776075
deuteros,0.0382834502840231
bobcat,0.033796362594873265
NoMoreNicksLeft,0.03331901284070839
qgyh2,0.03207790347987971
mutatron,0.02892739510239152
Aerik,0.02811590052031123
