,CC
7oby,0.30677516305596664
alllie,0.2981190790604301
tsteele93,0.2850079496226742
rmuser,0.2848433995099317
qgyh2,0.27984183349224767
bobcat,0.27939396528973137
deuteros,0.2780589209801061
Aerik,0.2746401361734189
brainburger,0.27369947433071584
AMerrickanGirl,0.2728570588471674
