,EVC
rmuser,0.5194113655050256
qgyh2,0.47287740300736
alllie,0.42982710006987107
noname99,0.23188500820527685
georgewashingtonblog,0.16466464674521386
7oby,0.15885647124045454
J-Ro,0.11880179880246494
Aerik,0.09744490848658988
tsteele93,0.09039766634946653
glengyron,0.0815315676513459
