,Katz
alllie,0.007511998718910924
rmuser,0.007466093625049318
qgyh2,0.007239209971141979
7oby,0.007189754426721346
georgewashingtonblog,0.007040981815268763
tsteele93,0.007036377375654948
J-Ro,0.007026780748221309
deuteros,0.0070261940593795815
dons,0.0070153665142219076
bobcat,0.007013088221723224
